Label,Label (cy),Prefix,Name,Abstract,Type,Period Type,Balance,Deprecated Label,Deprecated Label (cy),Deprecated Date,Companies Act,Audit Regulations,FRS 102
"Description of methods used to account for investments in subsidiaries, associates and joint ventures in separate financial statements","Disgrifiad o ddulliau a ddefnyddiwyd i gyfrif am fuddsoddiadau mewn is-gwmnïau, unigolion cyswllt a mentrau ar y cyd mewn datganiadau ariannol ar wahân",core,DescriptionMethodsUsedToAccountForInvestmentsInSubsidiariesAssociatesJointVenturesInSeparateFinancialStatements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 9.27.b
Description of methods used to account for investments in subsidiaries in separate financial statements,Disgrifiad o ddulliau a ddefnyddiwyd i gyfrif am fuddsoddiadau mewn is-gwmnïau mewn datganiadau ariannol ar wahân,core,DescriptionMethodsUsedToAccountForInvestmentsInSubsidiariesInSeparateFinancialStatements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 9.27.b
Description of methods used to account for investments in associates in separate financial statements,Disgrifiad o ddulliau a ddefnyddiwyd i gyfrif am fuddsoddiadau mewn unigolion cyswllt mewn datganiadau ariannol ar wahân,core,DescriptionMethodsUsedToAccountForInvestmentsInAssociatesInSeparateFinancialStatements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 9.27.b
Description of methods used to account for investments in joint ventures in separate financial statements,Disgrifiad o ddulliau a ddefnyddiwyd i gyfrif am fuddsoddiadau mewn mentrau ar y cyd mewn datganiadau ariannol ar wahân,core,DescriptionMethodsUsedToAccountForInvestmentsInJointVenturesInSeparateFinancialStatements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 9.27.b
Capital management policy,Polisi rheoli cyfalaf,core,CapitalManagementPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Segment reporting policy,Polisi adroddiadau segment,core,SegmentReportingPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Business combinations policy,Polisi cyfuniadau Busnes,core,BusinessCombinationsPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Functional and presentation currency policy,Polisi arian cyfred gweithredol a chyflwyno,core,FunctionalPresentationCurrencyPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Foreign currency translation and operations policy,Polisi trosi arian tramor a gweithrediadau,core,ForeignCurrencyTranslationOperationsPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Discontinued operations policy,Polisi gweithrediadau a derfynwyd,core,DiscontinuedOperationsPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Leases policy,Polisi prydlesi,core,LeasesPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Lessor policy,Polisi prydleswr,core,LessorPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Lessor finance lease policy,Polisi prydlesi cyllid prydleswr,core,LessorFinanceLeasePolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Lessor operating lease policy,Polisi prydlesi gweithredol prydleswr,core,LessorOperatingLeasePolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Lessee policy,Polisi lesddeiliad,core,LesseePolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Lessee finance lease policy,Polisi prydlesi cyllid lesddeiliad,core,LesseeFinanceLeasePolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Lessee operating lease policy,Polisi prydlesi gweithredol lesddeiliad,core,LesseeOperatingLeasePolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Borrowings policy,Polisi benthyciadau,core,BorrowingsPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Borrowing costs policy,Polisi costau benthyca,core,BorrowingCostsPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Government grants and other government assistance policy,Grant llywodraeth a pholisi cymorth arall y llywodraeth,core,GovernmentGrantsOtherGovernmentAssistancePolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 24.6.a
Tax policy,Polisi treth,core,TaxPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Current income tax policy,Polisi treth incwm cyfredol,core,CurrentIncomeTaxPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Deferred tax policy,Polisi treth ohiriedig,core,DeferredTaxPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Other taxes policy,Polisi trethi eraill,core,OtherTaxesPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Employee benefits policy,Polisi buddiannau Gweithwyr,core,EmployeeBenefitsPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Defined contribution pensions policy,Polisi pensiynau cyfraniadau diffiniedig,core,DefinedContributionPensionsPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Defined benefit pensions policy,Polisi pensiwn â buddion wedi'u diffinio,core,DefinedBenefitPensionsPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Share-based payments policy,Polisi taliadau seiliedig ar gyfranddaliadau,core,Share-basedPaymentsPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Other employee benefits policy,Polisi buddiannau gweithwyr eraill,core,OtherEmployeeBenefitsPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Non-financial assets and liabilities policies [heading],Polisïau asedau ac atebolrwydd nad ydynt yn ariannol [pennawd],core,Non-financialAssetsLiabilitiesPoliciesHeading,true,types:headingItemType,duration,,,,,,,
"Use dimensions to identify policies for classes of PPE, intangibles, provisions and other relevant asset types [guidance]","Defnyddiwch dimensiynau i enwi polisïau ar gyfer dosbarthiadau PPE, asedau anniriaethol, darpariaethau a mathau eraill o asedau perthnasol [canllawiau]",core,UseDimensionsToIdentifyPoliciesForClassesPPEIntangiblesProvisionsOtherRelevantAssetTypesGuidance,true,types:guidanceItemType,duration,,,,,,,
"Property, plant and equipment policy","Polisi Eiddo, offer a chyfarpar",core,PropertyPlantEquipmentPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
"Description of measurement basis for property, plant and equipment","Disgrifiad o sail mesur eiddo, offer a chyfarpar",core,DescriptionMeasurementBasisForPropertyPlantEquipment,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 17.31.a
"Description of depreciation method for property, plant and equipment","Disgrifiad o ddull dibrisio ar gyfer eiddo, offer a chyfarpar",core,DescriptionDepreciationMethodForPropertyPlantEquipment,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 17.31.b
"Depreciation rate used for property, plant and equipment","Cyfradd dibrisiad a ddefnyddiwyd ar gyfer eiddo, offer a chyfarpar",core,DepreciationRateUsedForPropertyPlantEquipment,false,num:percentItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 17.31.c
"Useful life of property, plant and equipment [years]","Oes ddefnyddiol eiddo, offer a chyfarpar [blynyddoedd]",core,UsefulLifePropertyPlantEquipmentYears,false,decimalItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 17.31.c
Intangible assets policy,Polisi asedau anniriaethol,core,IntangibleAssetsPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Description of recognition and basis of measurement of intangible assets,Disgrifiad o gydnabyddiaeth a sail mesur asedau anniriaethol,core,DescriptionRecognitionBasisMeasurementIntangibleAssets,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 18.27.a
Description of amortisation method for intangible assets,Disgrifiad o ddull amorteiddio ar gyfer ased anniriaethol,core,DescriptionAmortisationMethodForIntangibleAssets,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 18.27.b
Amortisation rate used for intangible assets,Cyfradd amorteiddiad a ddefnyddiwyd ar gyfer asedau anniriaethol,core,AmortisationRateUsedForIntangibleAssets,false,num:percentItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 18.27.a
Useful life of intangible assets [years],Oes ddefnyddiol asedau anniriaethol [blynyddoedd],core,UsefulLifeIntangibleAssetsYears,false,decimalItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 18.27.b
Investment property policy,Polisi eiddo buddsoddi,core,InvestmentPropertyPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Model used to measure investment property,Model a ddefnyddiwyd i fesur eiddo buddsoddi,core,ModelUsedToMeasureInvestmentProperty,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 16.10.a
Description of methods and significant assumptions applied in determining fair value of investment property,Disgrifiad o ddulliau a thybiaethau sylweddol a gymhwysir wrth bennu gwerth teg Eiddo Buddsoddi,core,DescriptionMethodsSignificantAssumptionsAppliedInDeterminingFairValueInvestmentProperty,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 16.10.a
Biological assets policy,Polisi asedau biolegol,core,BiologicalAssetsPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 34.2
Description of methods and significant assumptions applied in determining fair value of biological assets,Disgrifiad o ddulliau a thybiaethau sylweddol a gymhwysir wrth bennu gwerth teg asedau biolegol,core,DescriptionMethodsSignificantAssumptionsAppliedInDeterminingFairValueBiologicalAssets,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 34.7.b
"Description of methods and significant assumptions applied in determining the fair value at the point of harvest, biological assets, fair value model","Disgrifiad o ddulliau a thybiaethau sylweddol a gymhwysir wrth bennu gwerth ar adeg cynhaeaf, asedau biolegol, model gwerth teg",core,DescriptionMethodsSignificantAssumptionsAppliedInDeterminingFairValuePointHarvestBiologicalAssetsFairValueModel,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 34.7B
"Description of measurement basis for biological assets, cost model","Disgrifiad o sail mesur asedau biolegol, modelau costio",core,DescriptionMeasurementBasisForBiologicalAssetsCostModel,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 34.3A
"Description of depreciation method for biological assets, cost model","Disgrifiad o ddull dibrisio ar gyfer asedau biolegol, modelau costio",core,DescriptionDepreciationMethodForBiologicalAssetsCostModel,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 34.10.c
"Depreciation rate used for biological assets, cost model","Cyfradd dibrisiad a ddefnyddiwyd ar gyfer asedau biolegol, modelau costio",core,DepreciationRateUsedForBiologicalAssetsCostModel,false,num:percentItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 34.10.c
"Useful life of biological assets, cost model [years]","Oes ddefnyddiol asedau biolegol, modelau costio [blynyddoedd]",core,UsefulLifeBiologicalAssetsCostModelYears,false,decimalItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 34.10.d
Heritage assets policy,Polisi asedau treftadaeth,core,HeritageAssetsPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 34.55.c
Provisions policy,Polisi darpariaethau,core,ProvisionsPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Non-current assets or disposal groups held for sale policy,Polisi asedau anghyfredol neu grwpiau gwaredu a ddelir ar gyfer gwerthiant,core,Non-currentAssetsOrDisposalGroupsHeldForSalePolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Cash and cash equivalents policy,Polisi arian parod a'r hyn sy'n gyfwerth ag arian parod,core,CashCashEquivalentsPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Impairment of non-financial assets policy,Polisi amhariad ar asedau nad ydynt yn ariannol,core,ImpairmentNon-financialAssetsPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Inventories policy,Polisi stocrestrau,core,InventoriesPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Trade receivables policy,Polisi symiau masnach derbyniadwy,core,TradeReceivablesPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Trade payables policy,Polisi symiau taladwy drwy fasnach,core,TradePayablesPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Construction work in progress policy,Polisi gwaith adeiladu ar y gweill,core,ConstructionWorkInProgressPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 23.30.a
Research and development policy,Polisi Ymchwil a datblygu,core,ResearchDevelopmentPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Deferred income policy,Polisi incwm gohiriedig,core,DeferredIncomePolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
"For extractive industry policies, see 'Extractive industries sector' section [cross-reference]","I weld polisïau diwydiant echdynnol, gweler yr adran 'Sector diwydiant echdynnol' [croesgyfeirio]",core,ForExtractiveIndustryPoliciesSeeExtractiveIndustriesSectorSectionCross-reference,true,types:xrefItemType,duration,,,,,,,
Financial assets and liabilities policies [heading],Polisïau asedau ac atebolrwydd ariannol [pennawd],core,FinancialAssetsLiabilitiesPoliciesHeading,true,types:headingItemType,duration,,,,,,,
Use financial instrument classes and categories dimension to identify policies related to specific instrument classes [guidance],Defnyddiwch dimensiwn dosbarthau a chategorïau offerynnau ariannol i enwi polisïau cysylltiedig â dosbarthiadau offerynnau penodol [canllawiau],core,UseFinancialInstrumentClassesCategoriesDimensionToIdentifyPoliciesRelatedToSpecificInstrumentClassesGuidance,true,types:guidanceItemType,duration,,,,,,,
Financial instruments classification policy,Polisi dosbarthu offerynnau ariannol,core,FinancialInstrumentsClassificationPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 11.40
Financial instruments recognition and measurement policy,Polisi cydnabod a mesur offerynnau ariannol,core,FinancialInstrumentsRecognitionMeasurementPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 11.40
Impairment of financial assets policy,Amhariad ar bolisi asedau ariannol,core,ImpairmentFinancialAssetsPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 11.40
General derivatives and hedging policy,Polisi deilliadau a rhagfantoli cyffredinol,core,GeneralDerivativesHedgingPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 11.40
Derivatives policy,Polisi deilliadau,core,DerivativesPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 11.40
Hedging policy,Polisi rhagfantoli,core,HedgingPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 11.40
Current versus non-current classification policy,Polisi dosbarthu cyfredol yn erbyn anghyfredol,core,CurrentVersusNon-currentClassificationPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 11.40
Insurance business and contracts policy,Polisi busnes a chontractau yswiriant,core,InsuranceBusinessContractsPolicy,false,stringItemType,duration,,,,,,,
Trade receivables policy,Polisi symiau masnach derbyniadwy,core,TradeReceivablesPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Trade payables policy,Polisi symiau taladwy drwy fasnach,core,TradePayablesPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
"For additional policies for finance, see 'Banking and finance sector' section [cross-reference]","I weld polisïau ychwanegol ar gyfer cyllid, gweler yr adran 'Sector bancio a chyllid' [croesgyfeirio]",core,ForAdditionalPoliciesForFinanceSeeBankingFinanceSectorSectionCross-reference,true,types:xrefItemType,duration,,,,,,,
Income policies [heading],Polisïau incwm [pennawd],core,IncomePoliciesHeading,true,types:headingItemType,duration,,,,,,,
Revenue recognition policy,Polisi cydnabod refeniw,core,RevenueRecognitionPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 23.30.a
Finance income and costs policy,Polisi incwm a chostau cyllid,core,FinanceIncomeCostsPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
"Equity, share and dividend policies [heading]","Polisïau ecwiti, cyfranddaliad a difidend [pennawd]",core,EquityShareDividendPoliciesHeading,true,types:headingItemType,duration,,,,,,,
Dividend policy,Polisi difidend,core,DividendPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Share capital policy,Polisi cyfalaf cyfranddaliadau,core,ShareCapitalPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Convertible preference shares policy,Polisi cyfranddaliad braint trosiadwy,core,ConvertiblePreferenceSharesPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Treasury shares policy,Polisi cyfranddaliadau trysorfa,core,TreasurySharesPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Other specific accounting policy [grouping],Polisi cyfrifyddu penodol arall [grwpio],core,OtherSpecificAccountingPolicyGrouping,true,types:groupingItemType,duration,,,,,,,
Title of other specific accounting policy,Teitl polisi cyfrifyddu penodol arall,core,TitleOtherSpecificAccountingPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Content of other specific accounting policy,Cynnwys polisi cyfrifyddu penodol arall,core,ContentOtherSpecificAccountingPolicy,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.5
Critical accounting estimates and judgements [heading],Amcangyfrifon a dyfarniadau cyfrifo critigol [pennawd],core,CriticalAccountingEstimatesJudgementsHeading,true,types:headingItemType,duration,,,,,,,
General description of critical estimates and judgements,Disgrifiad cyffredinol o amcangyfrifon critigol a dyfarniadau,core,GeneralDescriptionCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Going concern, critical estimates and judgements","Busnes hyfyw, amcangyfrifon critigol a dyfarniadau",core,GoingConcernCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Impairment of non-financial assets, critical estimates and judgements","Amhariad ar asedau nad ydynt yn ariannol, amcangyfrifon critigol a dyfarniadau",core,ImpairmentNon-financialAssetsCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Impairment of goodwill, critical estimates and judgements","Amhariad ar ewyllys da, amcangyfrifon critigol a dyfarniadau",core,ImpairmentGoodwillCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Depreciation of property, plant and equipment and intangible assets, critical estimates and judgements","Dibrisiant eiddo, offer a chyfarpar ac ased anniriaethol, amcangyfrifon critigol a dyfarniadau",core,DepreciationPropertyPlantEquipmentIntangibleAssetsCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Revaluation of property, plant and equipment and investment property, critical estimates and judgements","Ailbrisio eiddo, offer a chyfarpar ac eiddo buddsoddi, amcangyfrifon critigol a dyfarniadau",core,RevaluationPropertyPlantEquipmentInvestmentPropertyCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Lease classification, critical estimates and judgements","Dosbarthiad les, amcangyfrifon critigol a dyfarniadau",core,LeaseClassificationCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Discontinued operations, critical estimates and judgements","Gweithrediadau a derfynwyd, amcangyfrifon critigol a dyfarniadau",core,DiscontinuedOperationsCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Classification of financial instruments, critical estimates and judgements","Dosbarthiad offerynnau Ariannol, amcangyfrifon critigol a dyfarniadau",core,ClassificationFinancialInstrumentsCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Financial instrument hierarchy, critical estimates and judgements","Hierarchaeth offerynnau ariannol, amcangyfrifon critigol a dyfarniadau",core,FinancialInstrumentHierarchyCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Measurement of financial instruments, critical estimates and judgements","Mesur offerynnau ariannol, amcangyfrifon critigol a dyfarniadau",core,MeasurementFinancialInstrumentsCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Impairment of financial instruments, critical estimates and judgements","Amhariad ar offerynnau Ariannol, amcangyfrifon critigol a dyfarniadau",core,ImpairmentFinancialInstrumentsCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Controlling interests and investments, critical estimates and judgements","Buddiannau rheoli a buddsoddiadau, amcangyfrifon critigol a dyfarniadau",core,ControllingInterestsInvestmentsCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Provisions, critical estimates and judgements","Darpariaeth, amcangyfrifon critigol a dyfarniadau",core,ProvisionsCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Income taxes, critical estimates and judgements","Treth incwm, amcangyfrifon critigol a dyfarniadau",core,IncomeTaxesCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Deferred tax assets, critical estimates and judgements","Asedau treth gohiriedig, amcangyfrifon critigol a dyfarniadau",core,DeferredTaxAssetsCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Post-employment benefits, critical estimates and judgements","Buddiannau ôl-gyflogaeth, amcangyfrifon critigol a dyfarniadau",core,Post-employmentBenefitsCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Share-based payments, critical estimates and judgements","Taliadau seiliedig ar gyfranddaliadau, amcangyfrifon critigol a dyfarniadau",core,Share-basedPaymentsCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Development costs, critical estimates and judgements","Costau datblygu, amcangyfrifon critigol a dyfarniadau",core,DevelopmentCostsCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Revenue recognition, critical estimates and judgements","Cydnabod refeniw, amcangyfrifon critigol a dyfarniadau",core,RevenueRecognitionCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"Commission revenue, critical estimates and judgements","Refeniw comisiwn, amcangyfrifon critigol a dyfarniadau",core,CommissionRevenueCriticalEstimatesJudgements,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
"General description of assets and liabilities with significant risk of material adjustment, including values","Disgrifiad cyffredinol o asedau a rhwymedigaethau sydd â risg sylweddol o addasiad sylweddol, yn cynnwys gwerthoedd",core,GeneralDescriptionAssetsLiabilitiesWithSignificantRiskMaterialAdjustmentIncludingValues,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.7
Other specific critical estimate and judgement [grouping],Amcangyfrif critigol a dyfarniadau eraill penodol [grwpio],core,OtherSpecificCriticalEstimateJudgementGrouping,true,types:groupingItemType,duration,,,,,,,
Title of other specific critical estimate and judgement,Teitl amcangyfrif critigol penodol a dyfarniad arall,core,TitleOtherSpecificCriticalEstimateJudgement,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
Content of other specific critical estimate and judgement,Cynnwys amcangyfrif critigol penodol a dyfarniad arall,core,ContentOtherSpecificCriticalEstimateJudgement,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 8.6
Segment reporting [heading],Adroddiadau Segment [pennawd],core,SegmentReportingHeading,true,types:headingItemType,duration,,,,,,,
"Use ordinary line item tags, such as 'Revenue', in conjunction with segment dimensions to identify segment values [guidance]","Defnyddiwch tagiau eitemau llinell arferol, megis 'Refeniw', ynghyd â dimensiynau segment i enwi gwerthoedd segment [canllawiau]",core,UseOrdinaryLineItemTagsSuchAsRevenueInConjunctionWithSegmentDimensionsToIdentifySegmentValuesGuidance,true,types:guidanceItemType,duration,,,,,,,
"Use geographic segments, operating segments, products and services and major customers dimensions to identify individual segments [guidance]","Defnyddiwch dimensiynau segmentau daearyddol, segmentau gweithredol, cynhyrchion a gwasanaethau a chwsmeriaid mawr i enwi segmentau unigol [canllawiau]",core,UseGeographicSegmentsOperatingSegmentsProductsServicesMajorCustomersDimensionsToIdentifyIndividualSegmentsGuidance,true,types:guidanceItemType,duration,,,,,,,
Use segment reconciliation dimension to identify basic adjustments and eliminations [guidance],Defnyddiwch dimensiwn cysoni segment i enwi addasiadau elfennol a diddymiadau [canllawiau],core,UseSegmentReconciliationDimensionToIdentifyBasicAdjustmentsEliminationsGuidance,true,types:guidanceItemType,duration,,,,,,,
Detailed reconciliations of individual line items are not required to be tagged [guidance],Nid oes angen tagio cysoni manwl o ran eitemau Llinell unigol [canllawiau],core,DetailedReconciliationsIndividualLineItemsAreNotRequiredToBeTaggedGuidance,true,types:guidanceItemType,duration,,,,,,,
Further line items for use in segment reporting [heading],Eitemau Llinell eraill i'w defnyddio mewn adroddiadau Segment [pennawd],core,FurtherLineItemsForUseInSegmentReportingHeading,true,types:headingItemType,duration,,,,,,,
Capital expenditure,Gwariant cyfalaf,core,CapitalExpenditure,false,monetaryItemType,duration,debit,,,,,,Name: SI; Number: 410; Paragraph: 68; Year: 2008
"For other required line items, see appropriate statements and notes sections [guidance]","Ar gyfer eitemau llinell gofynnol eraill, gweler yr adrannau datganiadau a nodiadau priodol [canllawiau]",core,ForOtherRequiredLineItemsSeeAppropriateStatementsNotesSectionsGuidance,true,types:guidanceItemType,duration,,,,,,,
Information on individual segments [heading],Gwybodaeth am unigolion cyswllt [pennawd],core,InformationOnIndividualSegmentsHeading,true,types:headingItemType,duration,,,,,,,
Name of individual segment,Enw'r segment unigol,core,NameIndividualSegment,false,stringItemType,duration,,,,,,,Name: SI; Number: 410; Year: 2008; Paragraph: 68
Description of individual segment member and source of its revenues,Disgrifiad o aelod segment unigol a ffynhonnell ei refeniwiau,core,DescriptionIndividualSegmentMemberSourceItsRevenues,false,stringItemType,duration,,,,,,,Name: SI; Number: 410; Year: 2008; Paragraph: 68
General disclosures on segments [heading],Datgeliadau cyffredinol ar segmentau [pennawd],core,GeneralDisclosuresOnSegmentsHeading,true,types:headingItemType,duration,,,,,,,
Factors used to identify entity's reportable segments,Ffactorau a ddefnyddiwyd i enwi segmentau endid y gellir adrodd arnynt,core,FactorsUsedToIdentifyEntitysReportableSegments,false,stringItemType,duration,,,,,,,Name: SI; Number: 410; Year: 2008; Paragraph: 68
Description of operations which are not included in reportable segments,Disgrifiad o weithrediadau nad ydynt yn gynwysedig mewn segmentau y gellir adrodd amdanynt,core,DescriptionOperationsWhichAreNotIncludedInReportableSegments,false,stringItemType,duration,,,,,,,Name: SI; Number: 410; Year: 2008; Paragraph: 68
